lead1,lead2,lead3
4169890,4199942,4209560
4171178,4199129,4207481
4173793,4196583,4202426
4170219,4199734,4209162
4169773,4200063,4209881
4170295,4199439,4208678
4171265,4198854,4207126
4172408,4198911,4205934
4169874,4199839,4209485
4169663,4199908,4209805
4170271,4199291,4208569
4171287,4198675,4206918
4172872,4198790,4205424
4170925,4199112,4207773
4172036,4196950,4204501
4172710,4196144,4203034
4171989,4197943,4205558
4172817,4198978,4205709
4170355,4199946,4209238
4170110,4199992,4209552
4170654,4199364,4208307
4171469,4198759,4206893
4172897,4198824,4205455
4170438,4199759,4208886
4170102,4199765,4209279
4170575,4199159,4208210
4171612,4198435,4206404
4172823,4198859,4205538
4170334,4200180,4209426
4170110,4200256,4209714
4170611,4199631,4208587
4176456,4197859,4200944
4172991,4198891,4205438
4170602,4199758,4208744
4170493,4199342,4208444
4170830,4198857,4207629
4176643,4197554,4200437
4173688,4197858,4203644
4172516,4196380,4203403
4172449,4195780,4202928
4171177,4197786,4206223
4176743,4197546,4200301
4173293,4198544,4204732
4170847,4199337,4208026
4170697,4198862,4207730
4171112,4198489,4206990
4176873,4197460,4200149
4173328,4198514,4204688
4170877,4199265,4207943
4170684,4198693,4207609
4171035,4198119,4206731
4176576,4197279,4200227
4172943,4198596,4205117
4170508,4199410,4208428
4170366,4198945,4208125
4176756,4197693,4200455
4176637,4197452,4200277
4173246,4198379,4204584
4170928,4198643,4207210
4170577,4198390,4207361
4176648,4197610,4200512
4176942,4196645,4199199
4174823,4195277,4199948
4172753,4195532,4202329
4170935,4197798,4206419
4176610,4197924,4200923
4176512,4197553,4200564
4173181,4198356,4204693
4170846,4198653,4207394
4170502,4198448,4207507
4176689,4197702,4200575
4176659,4197359,4200236
4173249,4198243,4204536
4170937,4198569,4207232
4170798,4198265,4207085
4176799,4197689,4200590
4176616,4197653,4200655
4173174,4198550,4204923
4170745,4198919,4207782
4170376,4198675,4207942
4176773,4197780,4200592
4176731,4197525,4200283
4173329,4198488,4204640
4170964,4198751,4207353
4173729,4198926,4204883
4177162,4196912,4199394
4178262,4194010,4195300
4175258,4194149,4198458
4171243,4197466,4205809
4173645,4199243,4205255
4177135,4197818,4200299
4177082,4197344,4199767
4173776,4197693,4203377
4171108,4198206,4206604
4173750,4199049,4204927
4177263,4197653,4200016
4177207,4197148,4199499
4173659,4197546,4203403
4171061,4198004,4206497
4173671,4199036,4205015
4176797,4197947,4200701
4176796,4197411,4200020
4173540,4197719,4203565
4170839,4198364,4207026
4173577,4199159,4205113
4176833,4197747,4200414
4176752,4197233,4199936
4173412,4197547,4203610
4170883,4198099,4206732
4173983,4198455,4203999
4178170,4194597,4195909
4178260,4193643,4194853
4173679,4196696,4202436
4171066,4200169,4208616
4173731,4199193,4205041
4176947,4197691,4200286
4177056,4196706,4199115
4173634,4197268,4203098
4171251,4200221,4208508
4173991,4199222,4204822
4177345,4197652,4199798
4177553,4196578,4198418
4174236,4197093,4202286
4171158,4200315,4208674
4173757,4199475,4205239
4177104,4197839,4200219
4177379,4196777,4198807
4174042,4197397,4202750
4171129,4200255,4208636
4173890,4199204,4204854
4177210,4197608,4199899
4177299,4196532,4198666
4173630,4197085,4202869
4171490,4199355,4207297
4175186,4195881,4200134
4178315,4194019,4195169
4177500,4195564,4197490
4173698,4197200,4202911
4171139,4200155,4208499
4173800,4199103,4204783
4177069,4197466,4199848
4177241,4196356,4198497
4170305,4199845,4208982
4171250,4199719,4207984
4173932,4198586,4204200
4177299,4196466,4198648
4177556,4195546,4197380
4170082,4199822,4209287
4170782,4200011,4208780
4173474,4198881,4205023
4176896,4196824,4199517
4177015,4196040,4198510
4169752,4200000,4209810
4170762,4199983,4208720
4173421,4198922,4205015
4176719,4196829,4199587
4176862,4195991,4198563
4170375,4199513,4208675
4172525,4197106,4204140
4175182,4195690,4200064
4177301,4195963,4198130
4176819,4196227,4198765
4170075,4200380,4209813
4171000,4200318,4208839
4173576,4199172,4205151
4176909,4197046,4199677
4169521,4200123,4210091
4169849,4200204,4209886
4170948,4199946,4208535
4173983,4198338,4203853
4177304,4196381,4198546
4169239,4200333,4210625
4169321,4200704,4210880
4170169,4200394,4209720
4173231,4198609,4204910
4176864,4196714,4199332
4169715,4200207,4210011
4170122,4200214,4209626
4171019,4199997,4208515
4173742,4198390,4204182
4176888,4196444,4199104
4169956,4199328,4208923
4171605,4197285,4205257
4172242,4196937,4204286
4173566,4197605,4203607
4176540,4196667,4199674
4169700,4200295,4210146
4169997,4200389,4209921
4170865,4200273,4208966
4173587,4198700,4204710
4176749,4196845,4199627
4169374,4200573,4210767
4169715,4200651,4210519
4170437,4200398,4209517
4173060,4198670,4205177
4167935,4200893,4212426
4167057,4201788,4214180
4167062,4201909,4214322
4167792,4201332,4213047
4170142,4199989,4209369
4166466,4202522,4215621
4166038,4202936,4216442
4166345,4202894,4216071
4167339,4202153,4214341
4170003,4200389,4209968
4169536,4200221,4210272
4170843,4198267,4206999
4171020,4197978,4206531
4169574,4199969,4209962
4170476,4199885,4208955
4173619,4198941,4204888
4174485,4198516,4203546
4173873,4198625,4204211
4172069,4198835,4206283
4171072,4198902,4207413
4173592,4198411,4204372
4174858,4197925,4202586
4174345,4198055,4203165
4172301,4198301,4205477
4172076,4197082,4204507
4173749,4198387,4204163
4175058,4197792,4202211
4174241,4197989,4203175
4171922,4198532,4206116
4172875,4199017,4205659
4174644,4198173,4203018
4175716,4197495,4201204
4175002,4197184,4201525
4172319,4197980,4205065
4173197,4198375,4204749
4176163,4194965,4198355
4177183,4193751,4196126
4175000,4196085,4200604
4171795,4198008,4205739
4172790,4198987,4205758
4174822,4198069,4202744
4176051,4197296,4200752
4175113,4197055,4201397
4172191,4198082,4205373
4173018,4199067,4205703
4175127,4198073,4202540
4176322,4197331,4200518
4175290,4196926,4201106
4173596,4196342,4202274
4172658,4199187,4206116
4174911,4198081,4202747
4176211,4197236,4200499
4175009,4196867,4201257
4171924,4197766,4205325
4172742,4198817,4205651
4175018,4197789,4202303
4176235,4197017,4200266
4175078,4196684,4201049
4171011,4199101,4207620
4174341,4195671,4200824
4176766,4193882,4196637
4177077,4195257,4197697
4175537,4196379,4200284
4170578,4199956,4208902
4172895,4198867,4205471
4175238,4197692,4201873
4176722,4196350,4198998
4175490,4196264,4200153
4170786,4199797,4208560
4173100,4198781,4205239
4175562,4197592,4201538
4177249,4196153,4198347
4177196,4194396,4196632
4170750,4200127,4208880
4172931,4199066,4205723
4175362,4197750,4201981
4176958,4196367,4198922
4175836,4196342,4199918
4170782,4199872,4208706
4173059,4198815,4205390
4175512,4197647,4201725
4177107,4196324,4198763
4169775,4199961,4209775
4172416,4196906,4204070
4174455,4195362,4200487
4175954,4195979,4199586
4177180,4195861,4198165
4169557,4200676,4210642
4171078,4199977,4208426
4173228,4198800,4205097
4175834,4196992,4200710
4177382,4195873,4197961
4169687,4200450,4210239
4171120,4199788,4208171
4173239,4198550,4204861
4175949,4196539,4200128
4178352,4193686,4194803
4169305,4200648,4210924
4170835,4199882,4208666
4172941,4198681,4205352
4175477,4196867,4200960
4176970,4195709,4198262
4169141,4200366,4210760
4170694,4199583,4208419
4173004,4198393,4204944
4175521,4196709,4200688
4176849,4195677,4198256
4170999,4197451,4205994
4172372,4196541,4203690
4173278,4197632,4203974
4175348,4196823,4201088
4169297,4200352,4210666
4169357,4200437,4210693
4171081,4199574,4208085
4173514,4197882,4203955
4175827,4196368,4200161
4169657,4200257,4210199
4169675,4200290,4210237
4171272,4199468,4207817
4173760,4197679,4203547
4177050,4194483,4197008
4169374,4200627,4210953
4169523,4200629,4210775
4171068,4199731,4208311
4173266,4198067,4204427
4175489,4196563,4200651
4169395,4200385,4210608
4169780,4200432,4210262
4171331,4199628,4207914
4173526,4198042,4204111
4175622,4196642,4200522
4171222,4197450,4205709
4171572,4197149,4205068
4171716,4198577,4206360
4173225,4198011,4204283
4175269,4196664,4200914
4169890,4200197,4209906
4170382,4200019,4209249
4171911,4199160,4206823
4173684,4197703,4203569
4171936,4199101,4206649
4170306,4200013,4209258
4170910,4199713,4208383
4172676,4198234,4205107
4175167,4195405,4199719
4171682,4199549,4207392
4170291,4200354,4209585
4170956,4200033,4208603
4172538,4198689,4205673
4173888,4197559,4203144
4172221,4199372,4206626
4171355,4199973,4208124
4172458,4199285,4206359
4173946,4197920,4203478
4174568,4197176,4202070
4173645,4196532,4202290
4173105,4196722,4203058
4173248,4198271,4204480
4174148,4197842,4203103
4174371,4197160,4202224
4171828,4199410,4206973
4171572,4199621,4207505
4172924,4198714,4205282
4174262,4197372,4202591
4174421,4196828,4201865
4171773,4199354,4206992
4171564,4199556,4207468
4173211,4198520,4204779
4175654,4195548,4199291
4172823,4198887,4205444
4171659,4199556,4207277
4171694,4199547,4207237
4173527,4198098,4203952
4174786,4196919,4201520
4172984,4198654,4205090
4171802,4199414,4207069
4171866,4199473,4207048
4173799,4197986,4203574
4175036,4196838,4201198
4174317,4195581,4200649
4173134,4196062,4202359
4171990,4198522,4206006
4173457,4198050,4204082
4174829,4196852,4201476
4172750,4198915,4205582
4171524,4199771,4207693
4171554,4199874,4207793
4173491,4198484,4204467
4174779,4197245,4201880
4172850,4198837,4205349
4171515,4199571,4207474
4171537,4199463,4207401
4174448,4196394,4201429
4176749,4193070,4195773
4172279,4199194,4206301
4171018,4199942,4208315
4171094,4199930,4208316
4173131,4198480,4204880
4173251,4198647,4204888
4172630,4198971,4205817
4171245,4199573,4207795
4171259,4198983,4207270
4172953,4197788,4204385
4174743,4195500,4200201
4174196,4195377,4200653
4171415,4198629,4206709
4170937,4199288,4207838
4172847,4198079,4204730
4173541,4198653,4204570
4172955,4199011,4205462
4171629,4199639,4207450
4171793,4199089,4206793
4173645,4197820,4203680
4173840,4198271,4203895
4173326,4198564,4204678
4172162,4199089,4206433
4173244,4197086,4203388
4176057,4193695,4197166
4173567,4198624,4204546
4173064,4199028,4205432
4171885,4199669,4207253
4172140,4199162,4206553
4173570,4198665,4204636
4173692,4198530,4204393
4173162,4198711,4205036
4172155,4198792,4206110
4172290,4198516,4205713
4174777,4195302,4199971
4174831,4194632,4199287
4173058,4197541,4204001
4171692,4198800,4206640
4171941,4198524,4206161
4173198,4198754,4204929
4173319,4198662,4204770
4172837,4198859,4205480
4171898,4198973,4206491
4172163,4198649,4205928
4173348,4198365,4204488
4173420,4198297,4204313
4172937,4198406,4204845
4172944,4196999,4203461
4174269,4194622,4199768
4173002,4198828,4205277
4173306,4198679,4204825
4172768,4198856,4205485
4171666,4198957,4206690
4171722,4198601,4206325
4173126,4198692,4204981
4173271,4198585,4204699
4172738,4198732,4205372
4171626,4198776,4206570
4174991,4195620,4200067
4174658,4195187,4199988
4173597,4197533,4203380
4172828,4198387,4204968
4171596,4198707,4206521
4173462,4198762,4204691
4173069,4198852,4205226
4173223,4198508,4204734
4172906,4198086,4204588
4171566,4198405,4206307
4173489,4198602,4204565
4173196,4198652,4204894
4173481,4198303,4204287
4174083,4196613,4201995
4174249,4194866,4200020
4173209,4198696,4204893
4172937,4198712,4205183
4173270,4198372,4204507
4172927,4197997,4204497
4171513,4198338,4206297
4173650,4198588,4204347
4173436,4198624,4204643
4173692,4198378,4204129
4173368,4198034,4204098
4172007,4198269,4205716
4175001,4195104,4199572
4173638,4197795,4203578
4173565,4198546,4204390
4173271,4198206,4204340
4173891,4198562,4204110
4173859,4198410,4203999
4173741,4198236,4203957
4174314,4197373,4202485
4173862,4197243,4202796
4173908,4198350,4203897
4173895,4198194,4203754
4173870,4197875,4203478
4175404,4195487,4199541
4176093,4193226,4196595
4173834,4198732,4204404
4173719,4198571,4204310
4173601,4198367,4204198
4174213,4197469,4202637
4173843,4197279,4202828
4173931,4198628,4204166
4173876,4198480,4203992
4173809,4198271,4203850
4174380,4197397,4202411
4173956,4197205,4202629
4175144,4195235,4199592
4173994,4197676,4203213
4173597,4198522,4204394
4174208,4197782,4202953
4172822,4199559,4206198
4174026,4198773,4204182
4174011,4198450,4203821
4174124,4197777,4203013
4174503,4197162,4202021
4172805,4199295,4205928
4174045,4198591,4203899
4174063,4198218,4203460
4175113,4195931,4200182
4176503,4193150,4195999
4172366,4199634,4206648
4173635,4198810,4204533
4173647,4198479,4204183
4173771,4197811,4203425
4174178,4197179,4202355
4172441,4199347,4206340
4173698,4198661,4204312
4173735,4198350,4203912
4173869,4197595,4203059
4174277,4197066,4202103
4174014,4196168,4201601
4174063,4197784,4203189
4173430,4198572,4204572
4173571,4197976,4203861
4174002,4197393,4202817
4172375,4199594,4206630
4173683,4198805,4204516
4173712,4198468,4204145
4173815,4197805,4203390
4170889,4200119,4208632
4172699,4199348,4206103
4174158,4198331,4203564
4175441,4195889,4199799
4176544,4193292,4196200
4170662,4200558,4209365
4172474,4199825,4206811
4173881,4198915,4204397
4174080,4198046,4203310
4173931,4197493,4202960
4170817,4200327,4208917
4172674,4199503,4206235
4174053,4198539,4203869
4174183,4197708,4202863
4173951,4197355,4202725
4172438,4197216,4204082
4173031,4198625,4204922
4173888,4198677,4204074
4174079,4197962,4203164
4173933,4197649,4203032
4171005,4200452,4208812
4172837,4199593,4206092
4174209,4198582,4203724
4174030,4197715,4203022
4173366,4197303,4203310
4170900,4200219,4208770
4173074,4199226,4205601
4175335,4196577,4200654
4176474,4193586,4196477
4171006,4200097,4208485
4171087,4200272,4208615
4172960,4199298,4205770
4174617,4197773,4202525
4174631,4197150,4201826
4171150,4199904,4208153
4171226,4200068,4208266
4173173,4198969,4205235
4174793,4197435,4201990
4174743,4196977,4201558
4172389,4196678,4203725
4171017,4199229,4207700
4172754,4199236,4206002
4174624,4197743,4202563
4174558,4197216,4202028
4170951,4199978,4208472
4171121,4200077,4208402
4173171,4199007,4205289
4174864,4197483,4202089
4174789,4196949,4201666
4171038,4199844,4208166
4171243,4199800,4207998
4174130,4197141,4202452
4176952,4193411,4195876
4175758,4194536,4198213
4170902,4200126,4208633
4171101,4200245,4208566
4173100,4199161,4205533
4174767,4197575,4202269
4172245,4199026,4206285
4171058,4199794,4208210
4171284,4199771,4207992
4173687,4198110,4203921
4175226,4196801,4201028
4173714,4195449,4201198
4171267,4198704,4206927
4171116,4199849,4208226
4173567,4198237,4204167
4175142,4197005,4201330
4172115,4198948,4206324
4170902,4199713,4208300
4171197,4199655,4207955
4173619,4197976,4203866
4175165,4196615,4200933
4172340,4198956,4206091
4171177,4199527,4207830
4172216,4197952,4205243
4175817,4194016,4197751
4176546,4194286,4197268
4172236,4199333,4206576
4171114,4199994,4208402
4171448,4199912,4207977
4173871,4198297,4203946
4173231,4198632,4204849
4172678,4199067,4205808
4171585,4199711,4207484
4172076,4199158,4206494
4174343,4197784,4202905
4174583,4195024,4199860
4172710,4197927,4204665
4171183,4199605,4207843
4171676,4198969,4206753
4174012,4197570,4203022
4172976,4198447,4204910
4172366,4198761,4205857
4171205,4199290,4207568
4171700,4198594,4206430
4174162,4197100,4202516
4173056,4198391,4204859
4172444,4198714,4205802
4172205,4197855,4205197
4174109,4195026,4200458
4175431,4194979,4199083
4172763,4198795,4205530
4172274,4199196,4206403
4171226,4199758,4208053
4171831,4199070,4206752
4174237,4197615,4202798
4172980,4198617,4205079
4172416,4199019,4206005
4171389,4199623,4207632
4171919,4199008,4206554
4174909,4194686,4199196
4173506,4197402,4203280
4172380,4198894,4205901
4171432,4198902,4206878
4171797,4198513,4206155
4173436,4198402,4204440
4173281,4198456,4204689
4172694,4198675,4205494
4171753,4198655,4206431
4172095,4198243,4205672
4173699,4198260,4203970
4173553,4198201,4204047
4173712,4196969,4202688
4174224,4194757,4199995
4173845,4195742,4201386
4173478,4198324,4204252
4173328,4198288,4204390
4172792,4198475,4205126
4171990,4198542,4205945
4172506,4198204,4205123
4173649,4198179,4204022
4173435,4198234,4204258
4172899,4198419,4204931
4172098,4198400,4205729
4172581,4197956,4204882
4173696,4197344,4203188
4173255,4198406,4204630
4172726,4198628,4205392
4171987,4198613,4206120
4174728,4197798,4202551
4173735,4198098,4203818
4173649,4198031,4203786
4173365,4197701,4203702
4172414,4197835,4204800
4174828,4197676,4202274
4173911,4197816,4203289
4174563,4196222,4201010
4175358,4193706,4197735
4173454,4195645,4201699
4174522,4197831,4202720
4173615,4198072,4203898
4173592,4197960,4203781
4173314,4197683,4203761
4172391,4197991,4205018
4174821,4197786,4202320
4173841,4198012,4203567
4173756,4197938,4203627
4173459,4197668,4203633
4172487,4197829,4204765
4174960,4196756,4201279
4173571,4198103,4203927
4173441,4198047,4203972
4173121,4197745,4204024
4172252,4197924,4205126
4174902,4197928,4202465
4173804,4198127,4203741
4173662,4197983,4203740
4173369,4197678,4203737
4175401,4197832,4201834
4174844,4197664,4202200
